handle,text,url
radithDD,All hail Yui Ogura,[]
Dovil,"@HamishMack @DawgBelly Forgive me Brian, I have sinned. Two shoes laced and a hail Mary, my son.",[]
MrTrevoe,eat pussy chug whiskey hail satan #wordstoliveby,[]
MamdoohMohmad,"الشيخ سليمان الجبيلان شاب بينتحر أسمع رد مضحك"" 

 https://t.co/s22NQWMg9x

@rthaill
@hail_ff
@Sa2Azooz","[#<Twitter::Entity::Url:0x007f92d21c6558 @attrs={:url=>""https://t.co/s22NQWMg9x"", :expanded_url=>""https://www.youtube.com/watch?v=yoaW8WvQOx4&feature=youtube_gdata_player"", :display_url=>""youtube.com/watch?v=yoaW8W…"", :indices=>[50, 73]}>]"
haneen_hail,"( ربنا اغفر لنا ولإخواننا الذين سبقونا بالإيمان ولا تجعل في قلوبنا غلا للذين
آمنو ربنا انك رءوف رحيم)
سورة الحشر آيه 10",[]
hail_cullers609,RT @ryan_aucott: Beach tomorrow,[]
All_Hail_James,RT @MadebyJay: I love to socialize.,[]
eredvelvet,"RT @MamdoohMohmad: ""راعي غنم سعودي يتحول لبروفيسور بأكبر جامعات أمريكا

 https://t.co/NHFPMoL4WW

@rthaill
@hail_ff
@Sa2Azooz","[#<Twitter::Entity::Url:0x007f92d21c4ed8 @attrs={:url=>""https://t.co/NHFPMoL4WW"", :expanded_url=>""https://www.youtube.com/watch?v=CH6VmsHmqY0&feature=youtube_gdata_player"", :display_url=>""youtube.com/watch?v=CH6Vms…"", :indices=>[73, 96]}>]"
ThugLyfeToby,@Aly_Dilaurentis haha hail no u dead bitch . swagggg . #playa,[]
200_hail,"RT @shaahr_12: .

مآمن أحد لآ ضآق صَدرگ يسَليگ ،،
إلآ گتآبَ الـلّـه يشرَحُ [ حَنآيـآگ ] ❤ http://t.co/B2n3EAuuR2",[]
midgethenya,all hail the Elves all hail the Thalmor (@YouTube http://t.co/lcAbzMT5ua),"[#<Twitter::Entity::Url:0x007f92d21cfc98 @attrs={:url=>""http://t.co/lcAbzMT5ua"", :expanded_url=>""http://youtu.be/z2PeKu0WiZk?a"", :display_url=>""youtu.be/z2PeKu0WiZk?a"", :indices=>[50, 72]}>]"
The_Seth_Affect,RT @shinn87: All hail Playstation https://t.co/pJQBeDvmI7 #neptunia,"[#<Twitter::Entity::Url:0x007f92d21cf450 @attrs={:url=>""https://t.co/pJQBeDvmI7"", :expanded_url=>""https://i.minus.com/ibcEo57sky1zlv.gif"", :display_url=>""i.minus.com/ibcEo57sky1zlv…"", :indices=>[34, 57]}>]"
myPBC,@bsippert: ADVISORY FOR S COLLIER CNTY..FREQUENT/EXCESSIVE LIGHTNING..WINDS FROM 45 TO 55 MPH...NICKEL-SIZED HAIL..TIL 430 PM #pbcskywarn,[]
rthaill,"RT @MamdoohMohmad: الشيخ محمد بن صالح العثيمين تفسير الفاتحه"" 

 https://t.co/A2PJsUaskU

@rthaill
@hail_ff
@Sa2Azooz","[#<Twitter::Entity::Url:0x007f92d21ce870 @attrs={:url=>""https://t.co/A2PJsUaskU"", :expanded_url=>""https://www.youtube.com/watch?v=4QRmQVJ5vfA&feature=youtube_gdata_player"", :display_url=>""youtube.com/watch?v=4QRmQV…"", :indices=>[65, 88]}>]"
fiyaflame,"Girl u say u like it deep, hail marry..",[]
